farmers_ahead,currently_waiting,currently_processing,active_counters,average_processing_time,hour,day_of_week,waiting_time_minutes
6,8,1,5,8.75,13,6,15.0
19,22,4,2,8.81,13,2,108.8
28,37,1,1,9.58,11,1,318.8
14,19,2,4,7.71,11,5,42.7
10,19,3,1,9.53,11,1,120.4
7,13,4,2,5.31,14,4,37.7
28,31,2,2,5.38,12,0,120.8
20,27,2,1,8.2,11,6,202.6
6,10,4,4,8.85,10,3,20.9
25,25,4,1,11.21,11,2,332.1
18,21,2,5,5.73,12,1,34.9
22,24,1,3,10.76,14,3,97.2
10,18,2,5,6.47,12,2,23.9
10,17,4,3,7.76,16,3,31.2
23,23,2,2,7.22,11,2,107.6
20,25,1,4,7.8,11,3,53.7
3,11,3,1,6.05,11,5,27.9
7,13,3,4,8.52,16,4,18.7
23,26,2,1,10.61,12,0,367.1
2,2,1,5,8.09,9,3,2.3
21,22,3,5,8.43,10,0,64.0
20,24,2,1,10.94,10,3,258.0
1,5,2,4,9.94,11,6,7.0
23,30,1,1,8.43,14,1,233.0
11,16,4,2,6.8,16,4,51.1
29,36,2,5,11.19,9,6,67.0
5,6,4,2,9.04,17,5,25.8
1,3,4,5,6.55,9,4,7.9
27,32,3,5,6.88,10,0,71.9
20,29,4,3,10.62,11,1,95.1
0,2,1,2,5.31,15,2,3.7
11,16,3,2,11.94,17,6,62.5
25,30,3,3,5.91,11,4,88.6
21,22,3,4,10.57,16,5,53.5
28,34,2,2,7.76,17,6,98.8
11,12,2,1,8.45,15,1,78.7
24,29,4,3,11.16,12,1,114.1
16,16,3,2,7.89,12,0,103.9
26,28,3,4,8.76,12,5,78.9
26,27,1,2,5.35,14,1,90.7
9,15,4,5,5.02,12,1,19.8
27,30,1,1,6.71,13,2,214.5
27,34,4,3,9.76,17,0,103.1
15,20,4,5,5.85,15,0,30.4
14,23,2,4,5.8,16,5,28.5
29,32,2,5,7.88,13,1,66.9
29,33,1,5,9.53,13,2,77.3
14,22,4,4,9.98,15,3,39.7
29,35,3,5,6.25,16,4,54.0
18,27,2,3,5.56,17,6,41.7
11,19,3,2,11.58,10,0,104.2
22,28,1,5,6.82,11,2,47.8
19,19,2,3,10.97,10,5,88.8
24,31,2,2,11.04,15,2,113.2
2,5,4,2,10.41,10,1,16.4
4,6,1,5,6.18,10,4,11.6
18,24,4,3,10.75,10,0,107.1
6,8,2,5,10.38,12,3,20.5
20,27,1,4,9.18,9,1,50.5
8,13,2,2,7.36,10,0,51.4
6,10,1,5,6.84,11,6,16.9
17,20,2,2,5.85,15,5,48.6
3,10,3,3,8.57,9,0,14.4
